label,Logish,Mish,TanhLU,ReLU,Swish,Tanh,PReLU,Softplus,Cosine,Sinusoid,HardShrink,Pstanh
1,0.767042041,0.963977873,0.997384489,0.995206177,0.829320133,0.981648207,0.882112443,0.885401845,0.395700932,0.996673703,0.490619421,0.997081578
1,0.876283348,0.989405572,0.983278334,0.281789064,0.908093512,0.996923506,0.278554231,0.609674871,0.10668005,0.985457242,0.490619421,0.992236912
1,0.918359399,0.980775714,0.992830217,0.995195925,0.848792434,0.952071011,0.715012193,0.456278741,0.27414605,0.89508158,0.490619421,0.997459471
0,0.214776322,0.003348159,0.836622894,0.04321596,0.113706872,0.591467023,0.033295337,0.160138503,0.763291419,0.006175009,0.490619421,0.286224544
1,0.976701498,0.992825508,0.994524717,0.99933666,0.987033248,0.995059252,0.916973174,0.978786767,0.815935135,0.992715061,0.490619421,0.996861219
0,0.006293068,0.017305674,0.030656137,0.001101922,0.001564603,0.008490223,0.002346207,0.001336054,0.770303905,0.001635256,0.490619421,0.001158352
0,0.086066715,0.515313268,0.059289295,0.847240329,0.696741879,0.098547831,0.189664528,0.59442991,0.524445713,0.450917214,0.490619421,0.03607779
0,0.714627862,0.106309749,0.649355948,0.527743161,0.173016563,0.003582591,0.200455442,0.094592847,0.095493995,0.926971793,0.490619421,0.016727064
1,0.650048673,0.940145731,0.997212112,0.007222202,0.475113511,0.99315393,0.458471,0.944464684,0.835028529,0.927695513,0.490619421,0.989748001
0,0.061858423,0.256532818,0.030700538,0.348043263,0.006430576,0.585266531,0.341769457,0.164496571,0.203844696,0.098396443,0.490619421,0.00949823
0,0.866109133,0.935587645,0.985776603,0.960729003,0.993455946,0.455680996,0.552192748,0.36718902,0.724079788,0.981453896,0.490619421,0.990402579
1,0.925079286,0.802001774,0.982016742,0.974637568,0.676991284,0.988958478,0.876627862,0.893000185,0.784367204,0.995471239,0.490619421,0.997606397
1,0.029162021,0.118976086,0.994233549,0.001565544,0.246444151,0.666230083,0.358876824,0.004648647,0.775050581,0.196345761,0.490619421,0.717879832
0,0.91330415,0.974158883,0.993429005,0.994388759,0.856267333,0.990395486,0.506477654,0.318547457,0.797105014,0.993307292,0.490619421,0.997423172
0,0.053712711,0.021098763,0.003001222,0.067746639,0.397512138,0.008221318,0.244848743,0.009947293,0.170070127,0.017442355,0.490619421,0.012430422
0,0.171112865,0.595006704,0.098386198,0.002404374,0.212866038,0.01993099,0.045579966,0.054532342,0.12815766,0.988252223,0.490619421,0.012930127
1,0.828933179,0.985362649,0.992872059,0.966785789,0.884270549,0.99230361,0.125844717,0.941626728,0.771677852,0.996687472,0.490619421,0.966663361
1,0.6294716,0.857296169,0.989505053,0.991401732,0.864291608,0.681458354,0.166229188,0.696885765,0.24715066,0.940913796,0.490619421,0.985646546
1,0.976877928,0.945881188,0.997012854,0.998441517,0.858112991,0.993601024,0.775841355,0.61088866,0.79370749,0.997726381,0.490619421,0.99632591
0,0.008168849,0.003039232,0.003963104,0.004013307,0.024350461,0.006489004,0.00274326,0.011801264,0.115380131,0.005930855,0.490619421,0.001116532
0,0.070164599,0.109427251,0.014193334,0.015697321,0.008402022,0.165519089,0.20629853,0.081904486,0.788542926,0.039459758,0.490619421,0.006970024
1,0.575734556,0.036598414,0.997081578,0.979413927,0.090828232,0.965755999,0.952745736,0.696530879,0.865744948,0.9797436,0.490619421,0.627724886
0,0.972983778,0.988618255,0.994714558,0.990630448,0.936626315,0.993052542,0.349448234,0.666329741,0.770629764,0.994339764,0.490619421,0.985954225
0,0.236572415,0.954203486,0.996434093,0.945138514,0.525612354,0.807759762,0.574073136,0.56065464,0.786638677,0.958920538,0.490619421,0.992425203
0,0.02286648,0.010456176,0.004123972,0.001582796,0.000683817,0.027427686,0.000637859,0.021630885,0.08562132,0.002720703,0.490619421,0.001354346
1,0.076265141,0.114970066,0.009625662,0.047995649,0.194334358,0.007839802,0.140232652,0.004901057,0.16049543,0.006714928,0.490619421,0.003805892
1,0.726251543,0.394745678,0.003278248,0.039777555,0.015509012,0.029401697,0.179681346,0.046119414,0.175043076,0.007249749,0.490619421,0.712434649
1,0.944933236,0.97360003,0.990713239,0.965774953,0.450239778,0.979616046,0.288234413,0.623608887,0.806801498,0.971436739,0.490619421,0.98821032
1,0.949400663,0.972252488,0.997243524,0.995266914,0.785978436,0.990244389,0.296157956,0.784542143,0.775416791,0.997442842,0.490619421,0.978520393
0,0.060505539,0.001408027,0.00279144,0.041858319,0.091217868,0.008103137,0.017189609,0.257622778,0.767414272,0.014963615,0.490619421,0.001568615
0,0.01034922,0.001250574,0.006136472,0.003402544,0.03166806,0.009609361,0.000478136,0.076089971,0.29158628,0.002679655,0.490619421,0.005484479
1,0.111286603,0.008553254,0.018405113,0.008150688,0.179221198,0.018308688,0.055998851,0.276243746,0.505497754,0.05082215,0.490619421,0.430661172
1,0.960807323,0.902566373,0.965750992,0.969036639,0.844655573,0.984179437,0.787425637,0.952603042,0.76607573,0.969054103,0.490619421,0.993419111
1,0.638379812,0.979394972,0.997342885,0.994720936,0.799739182,0.928969622,0.029627638,0.111299619,0.728133917,0.96841073,0.490619421,0.95285666
0,0.020366598,0.000887542,0.00274044,0.079873584,0.000257024,0.003695621,0.02535712,0.0064205,0.147395357,0.006535394,0.490619421,0.00143091
0,0.055842046,0.000141397,0.003372242,0.002385837,0.06186568,0.010680389,0.00280619,0.008515755,0.12824221,0.002839427,0.490619421,0.00193167
1,0.893672049,0.997348905,0.997528136,0.901565015,0.783365905,0.985757351,0.945319235,0.909658611,0.7987746,0.978319883,0.490619421,0.985405385
0,0.118348904,0.006207529,0.035765834,0.019998722,0.051849358,0.492504537,0.023861932,0.244130746,0.189174145,0.362784564,0.490619421,0.010542134
0,0.241392627,0.346318871,0.007912572,0.017858136,0.000151546,0.013289748,0.056484494,0.076989055,0.800187826,0.014770655,0.490619421,0.00478757
1,0.891497135,0.967550635,0.975983024,0.912262321,0.960220695,0.991706371,0.591641903,0.33052671,0.840102911,0.996455848,0.490619421,0.889143586
0,0.614685655,0.836345315,0.953055322,0.025973983,0.705792904,0.488282979,0.334698588,0.017306168,0.374103159,0.952496052,0.490619421,0.873467028
1,0.916568398,0.976678193,0.997167766,0.751672149,0.635844469,0.964459002,0.82165879,0.931659162,0.699543357,0.947155774,0.490619421,0.9962852
0,0.049952719,0.135294959,0.006443033,0.025795478,0.008862676,0.027031353,0.008555166,0.001434563,0.202435926,0.003231512,0.490619421,0.001047896
1,0.724674225,0.891895592,0.993154287,0.998369753,0.75770998,0.980459452,0.104444213,0.941218197,0.738676429,0.949591517,0.490619421,0.990003765
1,0.772199571,0.991368711,0.997505009,0.938493848,0.921698928,0.977274299,0.307116032,0.82609719,0.289056271,0.972691476,0.490619421,0.996954203
1,0.809427738,0.9822855,0.90514648,0.954668462,0.340862662,0.995653033,0.767821133,0.813153267,0.487738699,0.940003037,0.490619421,0.992522895
0,0.012079393,0.93964076,0.00559482,0.001722361,0.003913279,0.006114712,0.019192925,0.002825494,0.624292374,0.024810093,0.490619421,0.014645697
0,0.166366965,0.639034569,0.966007471,0.057702292,0.38923502,0.549285233,0.02488694,0.165176392,0.773847818,0.781411588,0.490619421,0.912541687
